Version and EC Level,Total Number of Data Codewords,EC Codewords Per Block,Number of Blocks in Group 1,Number of Data Codewords in Each of Group 1's Blocks,Number of Blocks in Group 2,Number of Data Codewords in Each of Group 2's Blocks,Total Data Codewords
1-L,19,7,1,19,0,0,(19*1)=19
1-M,16,10,1,16,0,0,(16*1)=16
1-Q,13,13,1,13,0,0,(13*1)=13
1-H,9,17,1,9,0,0,(9*1)=9
2-L,34,10,1,34,0,0,(34*1)=34
2-M,28,16,1,28,0,0,(28*1)=28
2-Q,22,22,1,22,0,0,(22*1)=22
2-H,16,28,1,16,0,0,(16*1)=16
3-L,55,15,1,55,0,0,(55*1)=55
3-M,44,26,1,44,0,0,(44*1)=44
3-Q,34,18,2,17,0,0,(17*2)=34
3-H,26,22,2,13,0,0,(13*2)=26
4-L,80,20,1,80,0,0,(80*1)=80
4-M,64,18,2,32,0,0,(32*2)=64
4-Q,48,26,2,24,0,0,(24*2)=48
4-H,36,16,4,9,0,0,(9*4)=36
5-L,108,26,1,108,0,0,(108*1)=108
5-M,86,24,2,43,0,0,(43*2)=86
5-Q,62,18,2,15,2,16,(15*2)+(16*2)=62
5-H,46,22,2,11,2,12,(11*2)+(12*2)=46
6-L,136,18,2,68,0,0,(68*2)=136
6-M,108,16,4,27,0,0,(27*4)=108
6-Q,76,24,4,19,0,0,(19*4)=76
6-H,60,28,4,15,0,0,(15*4)=60
7-L,156,20,2,78,0,0,(78*2)=156
7-M,124,18,4,31,0,0,(31*4)=124
7-Q,88,18,2,14,4,15,(14*2)+(15*4)=88
7-H,66,26,4,13,1,14,(13*4)+(14*1)=66
8-L,194,24,2,97,0,0,(97*2)=194
8-M,154,22,2,38,2,39,(38*2)+(39*2)=154
8-Q,110,22,4,18,2,19,(18*4)+(19*2)=110
8-H,86,26,4,14,2,15,(14*4)+(15*2)=86